# ra decl redshift T90
-2.643044428349412556e+00 9.426455204602653126e-02 9.418014256746846113e-01 1.243894664013970157e+02
7.752864252660094380e-01 1.303539552843383298e+00 2.567413251799796625e-01 1.913669018942808009e+01
1.366024966471760527e+00 -4.031969718144133297e-01 3.567220471007851224e+00 2.292580057104642322e+01
1.947679067553673260e+00 7.716024620301816794e-01 7.135087878577927256e+00 3.168491508741039979e+02
1.072442364724377262e+00 4.295153292794487432e-01 1.444390739637673837e+00 1.733410494275081817e+02
-2.370441865844226392e-01 -5.625493928443340425e-02 3.983734829992744864e+00 7.276065001175155089e+01
-1.939371845039971953e+00 -4.387661427831391903e-01 2.007044559934060501e+00 1.127622818060222976e+01
-2.807159530839162365e+00 -3.230755549515682001e-01 1.713788757509694838e+00 1.997058898128192261e-01
-2.057353987297502407e+00 -8.096636838141865744e-02 4.067381060492876177e-01 3.514609987501608401e+01
-1.980521673090450463e+00 3.120612406452914073e-02 3.787691065584100625e-01 8.292228861610613677e+00
1.468601715022057830e+00 -6.236845632606935474e-01 2.505599997772738410e-02 4.213859550325214087e+01
-1.536204511127223400e-02 1.341369238004493702e+00 5.028780184751783233e-01 1.465277565116584668e+01
-1.517746757003848979e+00 2.698807004950095068e-01 2.095245491774156310e+00 1.565516095271550689e+01
2.086908684896260358e+00 -1.041238798280425204e+00 2.959649469220169582e+00 3.063440791739705915e+01
1.685943559610869169e+00 3.029004555202799986e-01 1.930409258417392859e+00 3.623282978854046377e+01
-1.047457733848069061e+00 5.182561409655357387e-01 8.245342777515807242e-01 4.746560665309986859e+01
2.611144077620632054e+00 9.910150558339737570e-01 2.777464106036744873e+00 1.976255706652591115e+01
-1.625803085478716437e+00 -6.461705482602021489e-01 3.218671637253547768e+00 5.110476391716977096e-01
1.228909762071243694e+00 4.865427255729332656e-01 2.344814822392644604e+00 6.475975852232815355e-02
-3.104325762028130598e+00 -1.212812281772533751e+00 2.640136385292150667e+00 8.843815763547034692e+00
-2.687623529377943132e+00 7.994270401987318975e-01 1.311671070305870712e+00 6.886734639318898843e-01
-2.667864018763029588e+00 -9.731133260618238801e-01 2.951733045263156274e+00 1.009233131705551187e+02
2.004173697073821370e-01 1.035692873218817311e+00 1.022590693407354312e+00 3.758509790589138788e+01
-1.842341490889022104e+00 -2.348896224322458981e-01 5.185530065985128889e-01 4.499585517832453263e+01
-2.967117549049669289e+00 3.413087552717954110e-02 7.613990272162483031e-01 6.796782086119228516e-01
-1.086843503771062425e+00 -5.423478273462485344e-01 6.468502720506829062e-01 1.429550491191208916e+00
-6.611612595881917187e-01 5.839521654307532339e-01 9.124368566977610895e-01 4.376222395298541734e+00
2.890116978218252086e+00 7.582587142924087642e-01 4.833479146751419542e+00 2.379645639517715949e+01
1.946953782102499364e+00 7.314029950824173509e-01 5.732066618014856063e-01 2.610260617897186819e+01
-3.094469969804198861e+00 7.022359585118111980e-01 1.036981561314135991e+00 6.641503200420177677e+01
2.324393164779926302e+00 3.460737905208971510e-02 1.303074720021070831e+00 9.055772888009878230e+00
-1.347935086886269840e+00 -3.042759368932933597e-02 2.582441561089489745e+00 1.348125232346421853e+02
2.590053044228370016e+00 -9.316634873980436105e-01 1.803248244774856790e+00 1.018388377319991100e+01
5.216824106095011571e-01 -2.698719570894607678e-01 2.253811472097967616e+00 2.284384360805020275e+00
3.231039597609948466e-02 -3.551469134614389511e-01 8.915835228577513316e-01 1.040853022450794896e+01
-5.106351430257064505e-01 9.969847292226925450e-01 9.871341353229419191e-01 3.962077954890103371e+01
-2.472197666575680408e+00 -4.747007981398478349e-01 4.727226898704297575e+00 2.009568938303563002e+01
1.058237332129900121e+00 6.159249042577950028e-01 1.338437784331385938e+00 3.026660085597321914e-01
-1.462283728084418311e+00 -1.087630700924371530e+00 5.401355009941190666e+00 3.146252278876173136e+01
4.411300875146464406e-01 6.005162496205106448e-01 3.117313711256164410e-01 2.129418078025086345e+02
-1.771625251446283134e+00 -7.152901257319455031e-01 3.675200010324720878e+00 9.678114096250491016e+00
-3.162879735426203931e-01 -4.842894109310731943e-01 4.419188403721347136e+00 6.225954167108299941e+01
-4.235274492744668939e-01 4.756776509023353805e-01 1.355185025623208528e+00 7.757489919272065038e+01
2.637848769581818686e+00 -5.520909902516560885e-01 3.176026797868694462e+00 2.652408120559358196e+01
-2.137560986645629768e+00 -1.922801324041745752e-01 7.170830744084044639e-01 4.043307823963842651e+01
-1.951441265129353342e+00 -1.709078248541841816e-01 3.193697103979817431e+00 9.488032893854391858e+00
-3.030909117234613648e-01 1.087755057504216527e+00 5.003308214649350383e+00 3.900542356672347211e+01
7.534488664375509348e-01 -5.658460980746434776e-01 6.585265928380396039e-01 1.849603925739916477e+01
7.279420008959283095e-01 -5.094149721323291136e-01 1.327382688620537765e+00 5.351213846031021681e+00
-1.251771896798467232e+00 2.728745980827528284e-01 3.067342062851610152e+00 4.850866447538756399e-01
-1.405242004730370198e+00 -6.273207390976164310e-01 3.326211307360797509e+00 4.796857106668367265e+01
-1.249269539434106013e+00 1.055977881879863300e+00 2.983941360061944881e+00 6.401357842520309305e+01
-1.697594092108201780e+00 8.431068255678314527e-01 1.304291414952912342e+00 3.122795387639315834e+01
-1.901008836295664750e+00 4.628309463517061850e-01 1.660586041524215961e+00 1.290193629544304166e+01
-3.129396181241587360e+00 -1.408727386127875736e+00 1.598180959697039327e+00 9.493105758333177491e+00
3.088109885642099428e+00 -1.175108098034601367e+00 2.950282297935322262e+00 6.795175297899973543e+00
-2.847075993250590908e+00 7.810878509139167480e-01 4.069752789575379559e+00 5.362294156375974552e+01
3.012231950496161215e+00 5.381884886695447179e-01 1.032932926176084676e+00 3.163185031866298758e+01
1.304431886745497593e+00 -1.385258726630501647e+00 2.334610138650805577e+00 8.313634637068729205e+01
1.424524221126022283e+00 1.280386024173203907e+00 2.365450201692394838e+00 1.267955804285602728e+00
-7.281145554478632986e-01 -1.244465222116730274e+00 4.194977736598569096e-01 2.779705782718732010e+01
-1.673769686609727581e+00 -4.545136625668944053e-01 4.738526643657977044e-01 3.909532673869762220e+01
3.619482943256069341e-02 9.124063400671559299e-01 2.030473583834808693e+00 1.476093608899646803e+01
-1.253340462290475577e+00 4.780098293033172019e-01 6.749349182746365583e-02 5.860033047875571555e+00
9.982489466075348261e-01 1.169141270776118624e+00 3.162602669548829404e+00 9.192768424617796086e+00
-8.377787222004076106e-01 7.806231149806409642e-01 1.426932737152937447e+00 2.034399860209766331e+01
5.064831448018850546e-01 9.527940371274962184e-01 2.281121220369599356e-01 1.353493473866778762e+00
-2.735615398495220951e+00 -1.728033886925829377e-01 2.750256561836468272e+00 7.673139961138707221e+00
5.965135125040389452e-01 1.977079040775048535e-01 8.081255416083316101e-01 5.043175127908084221e+01
-1.185065610668624370e+00 5.356321950089876216e-01 1.235547403897950813e+00 3.375491223463523482e+01
-4.004882777337719912e-01 2.972584559539284133e-01 3.961805905158851115e-01 1.083674061278724032e+01
-1.038434544836041251e+00 7.882958244965886374e-01 1.005011567953526530e+00 2.624034461707659105e+01
2.367788068284562897e+00 -2.038327014711280652e-02 1.955513731529154420e+00 2.554126950360536696e+01
-8.990875858951724586e-01 3.928993312207106348e-01 2.338100943813286037e+00 3.636397871009732885e+00
-2.744790804846099497e-01 5.395473195941367095e-01 2.597353496964393216e+00 9.584365683393816226e+00
1.140688803620248937e+00 7.615375009470711776e-01 7.595490685592095614e-01 7.083587627770771178e+01
1.104760483660542247e+00 8.214397613185578928e-01 8.668504488766457516e-01 3.905361208792366767e+01
-8.302763147116823950e-01 8.437119482781374469e-01 1.068025031597112928e+00 2.948570070406871579e+01
-3.868804633217695077e-01 1.016257044956677014e+00 3.038762872659827696e+00 5.450118887433365700e+01
-2.221850279714185916e+00 -1.996792581493865848e-01 3.528429127903327078e+00 4.830300168327733741e-03
-1.798787905036002055e+00 1.750020427915551791e-01 1.381843059688303343e+00 1.820045179143371783e+01
2.173510776201742767e-01 -1.863776653682893969e-01 9.528702994340402244e-01 2.213214727610267474e+01
-1.607967673611990334e+00 -4.092203851103727863e-01 1.260767020653912329e+00 3.362947545989828768e+01
-2.622556845572855955e-01 -5.679008986317602981e-01 2.091064091638351385e+00 8.191639076175616196e+01
2.081151186629145222e+00 -6.013552682499834212e-01 8.209735891519505113e-01 1.592356774436157174e+01
-2.602638250926255559e+00 -1.950755287147535808e-02 1.829518623509831965e+00 9.125032545454293142e+01
2.149519356706774686e-01 2.849182272699104720e-02 1.366259896862088707e+00 9.401501896669042679e+00
-1.785070755048794755e+00 1.044000946160742682e+00 2.537778021634312431e+00 1.701205451817196774e+02
-1.912995596476612770e+00 -9.961958159032980875e-01 1.027811496142521985e+00 8.735528894821639412e+00
-2.790107349742617426e+00 -5.887976280823254971e-01 2.742000220707880853e-01 8.091590058607758351e+01
8.011163363386778480e-01 7.543872097637197571e-01 1.143510053128276249e+00 4.380266778957694385e+01
2.602927489379992299e+00 9.787812133206258425e-01 1.640737887961420283e+00 2.363587220542938638e+01
2.480517352164394840e+00 -7.486607244808854977e-01 1.491567900772654776e+00 3.672199203263312173e-01
9.470103829756302272e-01 5.567402470971237749e-01 1.511307141494110939e-01 3.922115754290717238e+00
-5.425964215959280246e-01 -2.554198841785297880e-01 2.892966169989745762e+00 3.448612838475042963e+01
-7.656365523025616682e-01 5.631085728614024788e-01 3.526027576849057876e+00 7.199263965589922520e+01
2.931866752920387897e-01 -5.684247904809837104e-01 2.108233917026827164e+00 7.839384241028888312e+01
-1.681175880897349373e+00 -5.684143208593742669e-01 2.082265904375177001e+00 1.061251850661066953e+01
-2.995197628107149068e+00 4.058979806607256324e-01 1.556083049166615107e+00 7.710357211364443231e+01
8.078440754242762756e-01 7.026949292354656151e-01 4.345750857910097409e+00 1.199052900406975297e+01
1.461897897242379729e+00 -9.704409426147555529e-01 1.107444523484268251e+00 2.627122356310591655e+01
-1.614498902274837278e+00 -4.173244334398555720e-04 3.270322943314388109e+00 1.042394054943423640e+02
2.777287673253463929e+00 -7.393008819928995612e-01 2.916234773347519571e+00 1.663208504513989938e+00
-2.940689118616903741e+00 -4.389027923902865669e-01 1.255703593984603295e+00 2.588029077777272136e+01
-2.344547620750081496e+00 -1.859647226083986984e-02 3.556517736490509840e+00 1.863484794902082626e+02
-1.401259252052523330e+00 -7.481674476713566779e-01 1.495800988895058081e+00 2.137280114952263688e+01
1.357810147622113162e+00 -1.025930591319621277e+00 2.517634169996219029e-01 4.890078904354852263e+00
1.298703286137148805e+00 -1.072901920703799972e+00 5.679565175946281741e-01 1.491502418262790286e+02
-1.684047519404029414e-01 -6.257057755143895228e-02 7.020259957915924165e-01 4.727261665267238300e+01
-2.612602873912298396e+00 3.515541652216405688e-02 1.751760381009161760e+00 5.902604232647806093e+00
-1.670382179165034842e+00 -2.968943064691121347e-01 2.843500537630256897e+00 3.290157573530608914e+01
1.323549427187331151e+00 -5.646380703286867364e-01 2.207414966942155221e+00 3.872968266626386935e+01
-1.919972932029088364e+00 6.353515547665470331e-01 7.859274262910018738e-01 8.578874220690106966e+00
-2.318336592589060885e+00 -1.867982791080976257e-01 3.503115554692534661e-01 1.191656583917817329e+02
5.474130785965343193e-01 4.776875688923118979e-01 3.281773650058921632e+00 1.250201527955510983e+01
-2.668294581544177646e+00 -4.984223212953806659e-01 6.000986939528828445e-01 1.142835574788152009e+01
1.330286148046054384e+00 7.405429288707019442e-01 3.396089850284012557e-01 4.099965400086653489e+01
-2.572654727170861744e+00 -3.419786306829244050e-03 1.363762239987732938e+00 1.619877056927413150e+01
-1.587806738406635887e+00 -7.741269546545285207e-01 5.393194496347449712e-02 1.425329121904044882e+02
4.161573365027279592e-01 -1.052156840012231198e+00 1.387563649510473507e+00 2.843201014700667528e+01
-1.493471457417488990e+00 -9.966967040733157868e-01 3.103786633396794059e+00 2.164735509673987579e+01
-2.227415913442190032e+00 -7.108221219105269606e-01 9.284150196518442533e-01 1.444417924957078014e+01
1.871598232619431368e+00 2.604493738480480047e-01 1.155356238060088581e+00 6.777772897538682173e+01
-2.053582698756106328e+00 3.286480699966233820e-01 6.983312812132970171e-01 2.225935112807693628e+01
1.800992584237242289e+00 -4.941458733009959081e-01 1.925067118485330520e+00 3.820137676794605586e+00
-2.555310633609020887e-01 2.040583545265834686e-01 4.114642276366921259e+00 6.008150517204365570e+01
3.005500479081969267e+00 -1.163293632268213695e+00 6.425279955445089897e+00 7.337237603283412568e+01
2.157919006621479563e-01 2.566115993500580617e-01 2.046777632725815810e+00 1.729818205274821139e+02
-1.307123403046715593e+00 6.491707805406674581e-01 1.170467564333059540e+00 5.604522801291005152e+01
-2.768926676089460859e+00 -5.118823317387244387e-01 1.036286662296580063e+00 6.689991894840999542e+00
2.785179935191354872e+00 3.356067620586949962e-01 2.371504755810442067e+00 5.224392082867817066e+01
-1.131060402511054885e+00 -4.296177327875861929e-01 1.754472778804923028e+00 1.707932088921274101e+02
-7.969347245066868979e-01 -1.562250758733959299e-01 1.273694117146723537e+00 3.232397770314178853e+00
5.197837112409526839e-01 7.840645739645423218e-01 3.488861758405556124e+00 1.643668991617487585e+00
-3.105781687857024576e+00 7.194565393880398840e-01 1.408985108456575208e+00 9.541657739984383824e+00
1.959156188352166317e-01 -9.694700939263666273e-01 3.836152005645023788e+00 2.856448492493140279e+01
2.092594816260364698e+00 -1.317867197957133252e+00 7.474548503667898247e-01 1.809666958567821382e+01
-1.554114293356789522e+00 2.099971023722880803e-01 1.245634826918795568e+00 2.940882054134328527e+01
-1.648650848169531946e-01 6.609977598702888590e-01 3.471909324163586219e-01 1.866350945402820685e+02
3.479636140090594520e-01 -5.532036151349751796e-01 6.826327015147572119e+00 9.323292159130430745e-02
-1.611545093322464206e+00 -1.977242430663304074e-01 4.067325573223352642e+00 1.417512525739932450e+01
1.553711048715592069e+00 6.844328802150331237e-01 4.505739246309706125e+00 3.195961119570425613e+00
2.020710571782779574e+00 5.012802392255352180e-01 1.328795898887945359e+00 4.171870224408744576e+01
-1.435791279157273781e+00 3.748312640520580219e-01 2.815696457628123484e-01 4.285233453856208286e+01
1.828844038950663942e+00 7.380070751349093738e-01 1.443633660036787170e+00 8.693413227030686130e+01
8.102512539267964220e-01 7.982730127966259914e-01 1.489480115432572971e+00 9.077662653674703819e+00
-3.111326936762370376e+00 4.877825458333940878e-01 1.398012467247006008e+00 4.132874654818131432e+00
-1.518385402056768640e+00 1.591330535262197032e-01 3.240432147492729342e+00 4.279314527701075122e+01
8.504520267534396716e-01 3.945923653072273551e-01 1.641712932359145949e+00 6.792593023240058869e+00
2.543901420219236265e+00 1.727215645875697647e-01 2.755339136121862875e+00 2.314434743398241068e+01
2.109634069027471082e+00 1.487771276104960849e+00 2.205030919374436404e+00 8.914984414833075732e+01
7.112294196003033919e-01 4.060102524745689001e-01 2.376834764654854215e+00 9.869955200131083473e+01
-2.059686251644812671e+00 1.435762691988737294e-01 1.266903974857748194e+00 1.399068093614888264e+00
-1.239677127914770249e+00 6.905421961043324564e-02 3.750212124231160349e+00 8.026407260521498666e-01
-1.878772466108476147e+00 -4.624858666740556679e-01 3.036946149510182380e+00 4.326718781770433964e+01
-9.964936367340634371e-01 2.690591237974122585e-01 4.689001932077129453e+00 4.120249830393348134e+01
1.948283859643765936e+00 -1.850662843270420854e-01 2.277513674564477508e+00 5.081198039801397215e+01
2.095420287863531961e+00 1.803469834666677207e-01 1.053429386965191394e+00 3.254233307072079384e+01
1.556352117666652379e+00 1.107113307805801250e-01 1.882838161182098791e+00 1.413181426800442253e+01
1.083771496409350998e+00 -6.550680948464272513e-01 6.450055359964276924e+00 2.704716238576128973e+01
-2.647161263267371556e+00 -3.440147394695662886e-01 8.009039105041676487e-01 2.874228670677369379e+01
1.228229661248677329e-01 2.470064365201324053e-01 1.398123268013770515e+00 4.801810245397966526e+01
1.415900108312834541e-02 3.763439116625216796e-01 2.691685794706813462e-01 6.706112155473748260e+01
2.652944120274241868e+00 2.703173807799034156e-01 1.173497533473221388e+00 1.331932242745803023e+02
1.486609791440765660e+00 -9.416962202930817538e-01 1.438315781206892074e+00 9.200813009014689570e+00
-1.026630960083234845e+00 6.060458771819138279e-01 5.733588048669018278e-01 1.598295742267530528e+01
-1.274596092756757892e+00 9.453367963397195373e-02 4.289289146068092640e-01 1.455699352277694647e+00
-2.808577417807180510e+00 -1.122305886755209370e-01 1.606164805852051902e+00 7.565872429559900070e+01
2.730353678437571929e+00 4.062477255836116075e-01 1.426157242457150698e+00 3.768378488793844294e+00
5.180549091178933141e-01 -2.595898441581081517e-01 7.640866710364450087e-01 2.304098036382502546e+00
3.087512133208022203e+00 -9.708947409021407848e-01 2.755901131388497571e+00 3.077542023714947561e+01
2.165565462072530423e+00 1.377130418658396027e-01 4.736224395557606104e-01 8.473469758552301556e+00
-2.778756504219957790e+00 -3.545115360158954121e-01 5.760446293735732581e-01 8.010440711630572030e-01
1.774130588244815732e+00 -7.820534103199293652e-01 2.354785180946011636e+00 3.238331745555356065e+02
-1.743758774183739035e+00 -8.605494066967102063e-01 2.630283721351527326e+00 2.813886695511294178e+01
7.900362632762375492e-01 -4.911911197025907172e-01 2.017808967162037614e+00 6.663660085520857024e+01
-2.780990607736100628e+00 -1.764638472764751623e-02 1.823299156379923236e+00 1.066660514554252899e+02
-3.744741783594383172e-02 -2.172823232976588970e-01 3.651321472892854914e+00 1.274178790250898352e+01
-2.014648877993934661e+00 -8.426902568941621041e-01 2.547598976119559211e+00 2.797671520078298713e+01
1.975382025997032942e+00 -1.302006013531705753e+00 2.408730957117896754e+00 9.471851146889591344e-02
-2.916491424236067331e-01 -1.167166238435357606e-02 1.721175337574620379e+00 3.585604032889244763e+01
3.200570990179933406e-01 -1.961934880858507146e-01 7.745579481041452163e-02 2.640208343907634592e-01
-2.661697624628146297e+00 -7.476323230375846451e-01 5.006539087763461460e+00 5.401843614876797872e-01
-9.822808698855473031e-01 -4.859452346276508794e-01 2.114147925412215745e+00 3.444955880487477629e+01
1.777201229897272361e+00 5.012350972921072456e-01 2.408294962357141245e+00 9.802445205938737161e+01
-1.855540483634782745e-01 3.429709109416849699e-01 1.833646015773937876e-01 1.859184936864071602e+01
1.709598933427957768e+00 3.331878403263526661e-02 3.164590025485022995e+00 1.734234722351890667e+01
-1.709134667900020110e+00 4.935982730622224257e-01 1.322623243011124439e+00 1.820927349233535608e+01
-1.997924243021490076e+00 4.249085134911218531e-01 6.953909639811131083e-01 3.414555630915941720e+00
2.267033625231110960e+00 7.125284443752092356e-01 2.986537490248681426e+00 4.016314207914830092e+01
6.252670115178805554e-01 -2.990969002678705024e-01 3.336230222359317210e+00 1.982130594568625725e-01
1.316276348337666713e+00 3.047809217172309931e-02 1.902774088428206944e+00 2.276385472800712506e+01
6.065385073482878475e-01 2.904535355653691808e-01 5.270192300298499610e-01 3.972658937402417934e+01
-2.452610916897807858e+00 5.711237821698387229e-01 3.274423290203281489e+00 1.262599198370555698e+01
-2.705396836722655962e+00 -1.479762811973869052e+00 4.322176390360611409e-01 1.322294221306215434e+02
-1.573454478779343413e+00 3.550898037102572236e-01 1.269290845016000535e+00 5.739747607810156360e+00
-1.418062824599094274e+00 -2.652753241441360710e-01 4.137640590379089434e-02 5.035258776408502612e+00
-1.120162194437723135e+00 9.242229279110190099e-01 1.595802708798378655e-01 2.321052427543504848e+02
-3.141327475290533133e+00 -1.009590177415646162e+00 2.959408240498547560e+00 1.038850070940482695e+01
-1.154964476377039251e+00 -7.460178325241436648e-01 1.361738781783895735e+00 2.672669259109584416e+01
4.128724562771075579e-01 5.924954770333428211e-01 4.510651967608021451e+00 2.670832042211347179e+00
-3.637826322793365486e-01 -7.603419408081008024e-01 2.417648247646707826e+00 6.391112898355118688e+01
6.677602227069109331e-01 -6.837057182434540525e-01 2.997940185964540483e+00 1.893398185496334563e+01
2.079607534778289857e+00 8.647107153061989182e-01 6.352055647128977967e+00 9.860554509878662088e+01
2.316491224674003480e+00 -1.506475448888099089e-01 2.034964859506375401e+00 5.204989566167363080e+01
2.848027316382673479e+00 9.272763743676546433e-01 2.130250948113114329e-01 3.770197565338951762e+01
1.736409300709944148e+00 -1.234587930496060082e+00 2.394831536213858580e+00 8.989546156842964209e+00
2.609493006464520537e+00 9.581171281649496496e-01 1.413739600486421777e+00 1.590884937512194242e+01
3.137150302188326023e+00 1.220693572784062653e+00 1.160343712533492555e+00 4.306993564202557678e+01
-3.001631045106851303e+00 -8.987093037962250452e-01 2.051530797153390928e+00 2.965287406338464393e+01
-1.138052370988956286e+00 -1.360086708218114282e+00 3.113810814281665174e+00 1.345881803846759794e+01
-2.507721703875796848e+00 -1.205315520329065943e-01 4.364721191756768093e+00 1.382242929870446346e+02
2.009090790441083296e+00 1.304991607269493592e+00 3.582267946480547360e-01 8.445516630413300030e-01
-8.021786268974475664e-01 -1.964900249934461995e-02 1.899156263851905280e+00 4.193754530459755614e+01
1.852200024390454169e+00 5.293797908824722509e-02 6.064751150238920197e+00 3.829301438214210762e+00
-2.933808969955604695e+00 1.091440390919768522e+00 2.087112383372059732e+00 4.838657072167353590e+01
-5.140494957363416634e-02 -1.334586199541168750e+00 2.491023476443849360e-01 3.517297777472254250e+00
-1.795690334597369153e+00 7.352148833859261101e-01 7.551020279361657650e+00 2.044400029103804073e+01
2.620310897739874356e+00 -9.507320939991015241e-01 2.262125786345219325e+00 1.186526245561892523e+01
1.635679191373017538e+00 1.025923258322179121e+00 1.799594226762477600e+00 1.062271673908527703e+01
1.117298282081659933e+00 5.142828056388156766e-01 1.782406127577956800e+00 2.217503742620478491e+01
-2.153087480203501602e+00 1.623831096857258627e-01 4.061149887064885888e+00 9.413111096990856907e+00
-2.074143377311679970e+00 -9.171486840648941652e-02 1.601047327361936612e-01 3.860510691936997318e+01
-1.298593259213760565e+00 6.685141246028978301e-01 5.349750110630734357e-01 3.466991939209714957e+01
-3.034212398201456828e+00 -2.546375248627300025e-01 2.464405518949397411e+00 1.064877141794991076e+02
-4.182577649043249801e-01 -1.015530280915596106e-01 1.800593821248193338e+00 3.977852681182330041e+00
-1.322052393507153312e+00 9.801133403466864014e-01 2.840654112975921297e+00 1.946164885868558736e+00
1.903782282622431266e-01 1.672408615666333420e-01 4.097656140547190629e-01 1.237771450546761827e+02
-2.208884058939101891e+00 5.734788543854778542e-01 3.999580344912839203e-01 2.315469933992016394e+01
